last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Barritt                    Alfred Sidney,        Systematic Reviews       ,,World Journal of Transplantation,Baishideng Publishing Group Inc,Predicting Hepatic Steatosis in Living Liver Donors via Noninvasive Methods,Paka                    Prani,6,"Division of Gastroenterology and Hepatology, Department of Medicine, University of North Carolina, Chapel Hill, NC 27599, United States.",2016
NEAMATZADEH                    Hossein,,,Arquivos Brasileiros de Cirurgia Digestiva : ABCD,Colégio Brasileiro de Cirurgia Digestiva,Interleukin10 -592 promoter polymorphism associated with gastric cancer among Asians a meta-analysis of epidemiologic studies,MOGHMI                    Mansour,8,,2010
Akay,,,IEEE Open Journal of Engineering in Medicine and Biology,IEEE,MobileNet convolutional neural networks and support vector machines for palmprint recognition,,8,,2019
Mishra                    Vandana,,,Journal of Human Reproductive Sciences,Medknow Publications & Media Pvt Ltd,Need and feasibility of providing assisted technologies for infertility management in resource poor settings,Arora                    Puneet,2,"Bourn Hall Fertility Centre, Gurgaon, Haryana, India",2000
LU                    YUAN,,,Oncology Letters,D.A. Spandidos,Protumor vs antitumor functions of IL-17,HU                    JINHUI,7,,2009
Troupis                    Theodore,,,Surgical and Radiologic Anatomy,SAGE,Effect of student engagement on multimedia-assisted instruction,Antonopoulos                    Ioannis,7,,2012
Naeem                    Ahmad Jan,,,BMC Health Services Research,Overseas Development Institute,Health care systems and conflict: a fragile state of affairs,Edward                    Anbrasi,6,,2011
O'Sullivan                    Saoirse E.,,,Frontiers in Pharmacology,Frontiers Media S.A.,Dietary fats and pharmaceutical lipid excipients increase systemic exposure to orally administered cannabis and cannabis-based medicines,Millar                    Sophie A.,4,,2016
Sapino                    Anna,,,BMC Cancer,BioMed Central,Hypoxia-inducible factor-1 in human breast and prostate cancer,Doublier                    Sophie,9,,2006
Zhu,,,Journal of Translational Medicine,BioMed Central,Acquired BRAF V600E mutation as resistant mechanism after treatment with osimertinib,Lin                    Quan,10,,2017
de Miranda,,,Cancers,MDPI,Spatial computation of intratumoral T cells correlates with survival of patients with pancreatic cancer,Brouwer                    Thomas,11,,2017
Hu                    Wanli,,,Journal of Clinical Laboratory Analysis,John Wiley and Sons Inc.,The central nervous system microenvironment influences the leukemia transcriptome and enhances leukemia chemo‐resistance,Zeng                    Pengyun,13,,2017
Waldemar                    Gunhild,,,International Journal of Geriatric Psychiatry,Ministry of Health,A total score for the CERAD neuropsychological battery,Jørgensen                    Kasper,5,,2005
Almazan Toral                    Fernando,,,Viruses,MDPI,"BCX4430, a novel nucleoside analog, effectively treats yellow fever in a Hamster model",Taylor                    Ray,11,"BioCryst Pharmaceuticals, Inc., Durham, NC, USA",2014
Wiley                    Andrea S.,        Social and Behavioral Sciences       ,,PLoS ONE,The World Bank,Income inequality and the double burden of under- and overnutrition in India.,Corsi                    Daniel J.,4,"Indiana University, United States of America",2007
Tang                    Ni,,,Theranostics,Ivyspring International Publisher,O-linked GlcNAcylation elevated by HPV E6 mediates viral oncogenesis,Hu                    Jie,16,,2016
Li                    Xingang,,,Journal of Experimental & Clinical Cancer Research : CR,BioMed Central,Modulation of P-glycoprotein efflux pump: induction and activation as a therapeutic strategy,Zhang                    Xin,13,,2015
Cheng                    Chao-Min,,,Diagnostics,MDPI,Secondary Attack Rate and Superspreading Events for SARS-CoV-2,Guevara-Hoyer,17,,2020
Campbell                    Kenneth S.,        CLINICAL RESEARCH       ,,JACC: Basic to Translational Science,Elsevier,Why is it important to analyze the cardiac sarcomere subproteome?,Blair                    Cheavar A.,7,,2010
Rouhani                    Mohammad Hossein,,,Scientific Reports,Perkin Elmer,The role of trace elements for the health of elderly individuals,Sajjadi                    Sana Sadat,4,,2001
Xu,,,BioMed Research International,Hindawi,Bcl2 inhibitor ABT737 reverses the Warburg effect via the Sirt3-HIF1,Wang                    Juanli,10,,2020
Weber,,,NPJ Regenerative Medicine,Nature Publishing Group UK,Accounting for the multiple natures of missing values in label-free quantitative proteomics data sets to compare imputation strategies,Kehl                    Debora,9,,2016
Xie                    Xiaochun,        Review       ,,Behavioral Sciences,Springer,Short- and Long-Term Effects of Embodied Experiences in Immersive Virtual Environments on Environmental Locus of Control and Behavior,Zhang                    Yaqi,5,,2014
Halldén                    Gunnel,,,Scientific Reports,Nature Publishing Group UK,Oncolytic adenoviral mutants with E1B19K gene deletions enhance gemcitabine-induced apoptosis in pancreatic carcinoma cells and anti-tumor efficacy,Stella Man                    Y. K.,7,,2009
Ziemssen                    Tjalf,         Perspective        ,,Frontiers in Neurology,IEEE,Force USPST. Screening for high blood pressure in adults: U.S. Preventive services task force recommendation statement,Li                    Kai,3,,2015
Hayashi,,,Journal of Ophthalmology,Hindawi,Rethinking the hydroxychloroquine dosing and retinopathy screening guidelines,Ueda-Consolvo                    Tomoko,6,"Department of Ophthalmology, Graduate School of Medicine and Pharmaceutical Sciences, University of Toyama, Toyama, Japan",2020
Jin                    Mulan,,,Oncology Letters,Springer,Low frequency KRAS mutations in colorectal cancer patients and the presence of multiple mutations in oncogenic drivers in non-small cell lung cancer patients,Chen                    Xiaoyan,8,,2013
Gezercan,         Spine        ,,Journal of Korean Neurosurgical Society,Korean Neurosurgical Society,Subaxial cervical pedicle screw insertion with newly defined entry point and trajectory: accuracy evaluation in cadavers,İştemen,8,,2010
Imperiale                    Michael J.,        Clinical Science and Epidemiology       ,,mSphere,American Society for Microbiology,Evaluation of quantum dot immunofluorescence and a digital CMOS imaging system as an alternative to conventional organic fluorescence dyes and laser scanning for quantifying protein microarrays,Nakajima                    Rie,15,University of Michigan—Ann Arbor,2016
Lustig                    Arthur J.,           Histone Modification          ,,PLoS ONE,"Schrödinger, LLC, New York",Prediction and functional analysis of native disorder in proteins from the three kingdoms of life.,Korvald                    Hanne,8,"Tulane University Health Sciences Center, United States of America",2010
Khaldi                    Belal,,,Biomedical Signal Processing and Control,Elsevier Ltd.,Automated detection of COVID-19 cases using deep neural networks with X-ray images,Aiadi                    Oussama,2,"Artifcial Intelligence and Information Technology Laboratory (LINATI), Department of Computer Science and Information Technology, Faculty of Sciences and Technology, University of Kasdi Merbah, Ouargla 3000, Algeria",2020
Limborska                    Svetlana A.,,,Molecular Cytogenetics,Oxford University Press,"High-throughput genotyping of copy number variation in glutathione S-transferases M1 and T1 using real-time PCR in 20,687 individuals",Khrunin                    Andrey V.,6,"Department of Molecular Bases of Human Genetics, Institute of Molecular Genetics of Russian Academy of Sciences, Kurchatov sq. 2, Moscow, 123182 Russia",2009
Xu                    Hongshuang,,,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,"International Scientific Literature, Inc.",Resveratrol improves diabetic retinopathy possibly through oxidative stress – nuclear factor κB – apoptosis pathway,Wu                    Di,3,"Department of Endocrinology, The Third Affiliated Hospital of Qiqihar Medical College, Qiqihar, Heilongjiang, P.R. China",2012
Cameron                    Ian D,        1727       ,,BMJ Open,Aspen Publishers,A global clinical measure of fitness and frailty in elderly people,Fairhall                    Nicola,9,,2005
Yaya,        Protocol       ,,Systematic Reviews,CERIS,"Barriers, facilitators, strategies and outcomes to engaging policymakers, healthcare managers and policy analysts in knowledge synthesis: a scoping review protocol",Dombou                    Christelle,5,,2016
Zhu                    Changhong,        Review       ,,Reproductive Biology and Endocrinology : RB&E,BioMed Central,Pregnancy outcome after ovulation induction with aromatase inhibitors or clomiphene citrate in unexplained infertility,Yu                    Qiong,6,,2009
Schmitz                    Klaus-Peter,,,Molecular Vision,Molecular Vision,TGF-beta and fibrosis in different organs - molecular pathway imprints.,Löbler                    Marian,12,,2009
Lin                    Yuh-Ting,,,Archives of Physical Medicine and Rehabilitation,Mayfield,The role of learning and coordination in strength training,Liao                    Hua-Fang,4,,1986
Russell                    James A.,,,CMAJ Open,Government of Canada,IL-6-based mortality prediction model for COVID-19: validation and update in multicenter and second wave cohorts,Lee                    Terry,24,"Centre for Health Evaluation and Outcome Sciences (T. Lee, Singer), St. Paul’s Hospital, University of British Columbia, Vancouver, BC; Division of Infectious Diseases (Cheng, Vinh, T.C. Lee), Department of Medicine, McGill University Health Centre, Montréal, Que.; Division of General Internal Medicine (Tran), Vancouver General Hospital; University of British Columbia (Tran, Sweet, Patrick, Murthy), Vancouver, BC; Departments of Critical Care Medicine (Winston), Medicine (Winston) and Biochemistry and Molecular Biology (Winston), Foothills Medical Centre; University of Calgary (Winston), Calgary, Alta.; Division of Critical Care Medicine (Sweet), Vancouver General Hospital; Centre for Heart Lung Innovation (Boyd, Walley, Russell) and Division of Critical Care Medicine (Boyd, Walley, Russell), St. Paul’s Hospital, University of British Columbia, Vancouver, BC; Department of Medicine (Haljan), Surrey Memorial Hospital, Surrey, BC; Mount Sinai Hospital (McGeer); University of Toronto (McGeer), Toronto, Ont.; Université de Sherbrooke (Lamontagne), Sherbrooke, Que.; Sunnybrook Health Sciences Centre (Fowler), Toronto, Ont.; Department of Critical Care (Maslove), Kingston General Hospital and Queen’s University, Kingston, Ont.; British Columbia Centre for Disease Control (Patrick), Vancouver, BC; Department of Surgery (Marshall), St. Michael’s Hospital, Toronto, Ont.; Division of Nephrology (Burns), Department of Medicine, Ottawa Hospital Research Institute, University of Ottawa, Ottawa, Ont.; BC Children’s Hospital (Murthy); Black Tusk Research Group (Mann, Hernandez, Donohoe, Rocheleau), Vancouver, BC",2021
Armamento-Villareal                    Reina,,,Contemporary Clinical Trials Communications,Elsevier,Suppressed bone turnover during alendronate therapy for high-turnover osteoporosis,Russo                    Vittoria,8,,2006
Csermely                    Peter,          Crystallography         ,,PLoS ONE,Academic Press,Features and development of Coot.,Zhang                    Haitao,8,"Semmelweis University, Hungary",2010
Cai                    Weixiong,,,Frontiers in Psychiatry,Frontiers Media S.A.,The effect of age on cognitive performance of frontal patients,Chang                    Fan,7,,2015
ZHANG                    JIANGLIN,,,International Journal of Molecular Medicine,Springer,Aberrant ERG expression cooperates with loss of PTEN to promote cancer progression in the prostate,QI                    MIN,4,,2009
Russo                    Isabella,,,International Journal of Molecular Sciences,MDPI,Phosphatidylserine-exposing cells contribute to the hypercoagulable state in patients with multiple myeloma,Ghansah                    Harriet,6,,2018
Jacob                    Suma,,,Frontiers in Neuroscience,Psychological Corporation,Genes controlling affiliative behavior as candidate genes for autism,Francis                    Sunday M.,6,,2008
Marhefka                    Gregary D.,        Systematic Review and Meta‐analysis       ,,Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease,The JAMA Network: McGraw Hill,Management and outcomes of heart failure patients with CKD: experience from an inter‐disciplinary clinic,Siddiqui                    Muhammad U.,3,,2020
Isola                    Daniela,,,Microorganisms,Springer,Ubiquity of,Distaso                    Marco A.,10,,2021
Ferretti                    Patrizia,        Tissue‐specific Progenitor and Stem Cells       ,,Stem Cells Translational Medicine,"John Wiley & Sons, Inc.",Plasticity of human adipose lineage cells toward endothelial cells: physiological and therapeutic perspectives,Ibrahim                    Amel,9,,2004
Navarro                    Alfons,            Gastric Cancer           ,,PLoS ONE,Public Library of Science,[The role of macroglobulin family proteins in the regulation of inflammation],Huang                    Chun-yu,16,,2006
Fernando                    Jeremy,,,BMC Anesthesiology,McGraw-Hill,"If nothing goes wrong, is everything all right? Interpreting zero numerators",Lee                    Dickson,7,,1983
Borderie                    Vincent M.,        Basic Investigation       ,,Cornea,Cornea,The use of Bowman's layer vertical topographic thickness map in the diagnosis of keratoconus,Grieve                    Kate,7,,2014
Du                    Wei Bing,,,BMC Gastroenterology,BioMed Central,Effect of Billroth II or roux-en-Y reconstruction for the Gastrojejunostomy after Pancreaticoduodenectomy: meta-analysis of randomized controlled trials,Lyu,5,"Department of Hepatobiliary Surgery, Wenzhou Medical University Affiliated Dongyang Hospital, 60 West Wuning Road, Dongyang, 322100 Zhejiang Province China",2015
Papayannopoulos                    Venizelos,,,Nature immunology,,Inhibitors of bacterial virulence identified in a surrogate host model,Branzk                    Nora,7,,2007
Larco                    Nancy Charles,,,Diabetes Therapy,Torrey Pines Press,The use of fixed-mixture insulins in clinical practice,Jean-Baptiste,9,,2000
Barchi                    Joseph J,,,PLoS ONE,Public Library of Science,The sialyltransferase ST3GAL6 influences homing and survival in multiple myeloma,Chen                    Jie,12,,2014
Ding                    Chunming,        Methodology       ,,Biological Procedures Online,BioMed Central,Ultrafast and memory-efficient alignment of short DNA sequences to the human genome,Lee                    Yew Kok,8,,2009
Tu                    Yu-Kang,          Evidence-Based Medicine         ,,PLoS ONE,Public Library of Science,Emerging therapies: pleiotropic multi-target drugs to treat stroke victims,Yang                    Bowen,6,,2011
Hoyland                    Judith A,,,Arthritis Research & Therapy,BioMed Central,The BMP ligand Gdf6 prevents differentiation of coronal suture mesenchyme in early cranial development,Clarke                    Louise E,6,,2012
Huang                    San-Yuan,,,Psychiatry Investigation,The Psychological Corporation Harcourt,Impact of depression and antidepressant treatment on heart rate variability: a review and meta-analysis,Chang                    Hsin-An,6,,2010
Baldwin                    Amy,        1846       ,,BMJ Open,OECD Publishing,Rayyan-a web and mobile app for systematic reviews,Olowojesiku,9,,2016
Kooperman                    Gabriel J.,,,Nature Communications,Nature Publishing Group UK,Global monsoon: dominant mode of annual variation in the tropics,Cui,8,,2008
Gabriele                    Annarita,,,Annals of the Rheumatic Diseases,BMJ Publishing Group,Deciding on progression of joint damage in paired films of individual patients: smallest detectable difference or change,Peterfy                    Charles,12,,2005
Kong                    Yuan-Yuan,        Case Reports       ,,The Journal of International Medical Research,SAGE Publications,Quantitative multiplex PCR of short fluorescent fragments for the detection of large intragenic POLG rearrangements in a large French cohort.,Li,8,,2014
Harris                    Mark F,,,BMC Nursing,AIHW Cat. No. GEP 18. Canberra: Australian Institute of Health and Welfare (General Practice Series No. 18),Establishment of Medicare Locals and better access to after hours care,Chan                    Bibiana C,6,,2009
Scaggiante                    Bruna,,,International Journal of Molecular Sciences,MDPI,ViennaRNA Package 2.0,Alexandre                    Daniela,8,,2011
Ricaut                    François-Xavier,,,European Journal of Human Genetics,Nature Publishing Group,The genome-wide structure of the Jewish people,Kusuma                    Pradiptajati,9,,2010
Johnson                    Blake,,,PLoS ONE,Public Library of Science,Understanding and sharing intentions: the origins of cultural cognition,Bowling                    Daniel L.,4,,2005
Khan                    Jabbar,,,Journal of Translational Medicine,BioMed Central,Factors associated with seroprevalence of hepatitis C among dentists at a large Brazilian city,Attaullah                    Sobia,3,,2009
Braman                    Jeff,,,BMC Genomics,BioMed Central,Significance analysis of microarrays applied to the ionizing radiation response,Novoradovskaya                    Natalia,13,,2001
Hirota,,,Scientific Reports,Nature Publishing Group UK,Transcript assembly and quantification by RNA-Seq reveals unannotated transcripts and isoform switching during cell differentiation,Okamoto                    Akihisa,11,,2010
Patel                    Praful,,,BMC Cancer,London: Macmillan,Cyclooxygenase-2 is expressed frequently and early in Barrett's oesophagus and associated adenocarcinoma,Bhandari                    Pradeep,8,,2003
Geris                    Liesbet,,,Frontiers in Bioengineering and Biotechnology,Chalmers University of Technology,Noninvasive real-time monitoring by AlamarBlue® during,Mehrian                    Mohammad,4,,2013
Warta,,,International Journal of Molecular Sciences,MDPI,The lasso method for variable selection in the Cox model,Dao Trong                    Philip,7,,1997
Vieirac                    Ricardo de Sousa,,,The Open Dentistry Journal,Bentham Open,Design of Erosion/Abrasion Studies – Insights and Rational Concepts.,Ferreira                    Meire Coelho,4,,2011
Elsheikh                    Ahmed,,,Frontiers in Bioengineering and Biotechnology,Frontiers Media S.A.,Reverberant 3D optical coherence elastography maps the elasticity of individual corneal layers.,Zhang                    Haixia,9,,2019
McCabe                    C J,,,Endocrine-Related Cancer,Bioscientifica Ltd,Functional variable number of tandem repeats variation in the promoter of proto-oncogene PTTG1IP is associated with risk of estrogen receptor-positive breast cancer,Imruetaicharoenchoke                    W,12,,2012
Dawood                    Ali Adel,        Original       ,,Vacunas,"Elsevier España, S.L.U.",Design of a multiepitope-based peptide vaccine against the e protein of human COVID-19: an immunoinformatics approach,Dawood                    Ali Adel,1,"Dept. of Medical Biology, College of Medicine, University of Mosul, Mosul, Iraq",2020
Ulasov                    Ilya,,,PLoS ONE,Public Library of Science,Measles virus entry through the signaling lymphocyte activation molecule governs efficacy of mantle cell lymphoma radiovirotherapy,Romanets-Korbut                    Olga,11,,2013
Gibson                    David C.,,,Frontiers in Psychology,Society for Learning Analytics Research for the Australian Office for Learning and Teaching,Learning analytics dashboard applications,Roberts                    Lynne D.,4,,2014
Wiedmann                    Martin,,,mBio,Centers for Disease Control and Prevention (CDC),Fiji: an open-source platform for biological-image analysis,Miller                    Rachel A.,2,,2013
Dietz                    Mathias,,,Trends in Hearing,MIT Press,Sound processing for better coding of monaural and binaural cues in auditory prostheses,Williges                    Ben,4,,2013
Wang                    Guojie,,,Cell & Bioscience,BioMed Central,In situ expressions of protein 16 (p16(CDKN2A)) and transforming growth factor β-1 in patients with cervical intraepithelial neoplasia and cervical cancer,Zhang,3,,2018
Ying                    Zeng,,,Iranian Journal of Reproductive Medicine,Research and Clinical Center for Infertility,Single-nucleotide polymorphisms in the promoter region influence the expression of the human follicle-stimulating hormone receptor,Dan                    Wang,5,,2005
Wang                    Jingqi,         Case Report        ,,Frontiers in Genetics,Frontiers Media S.A.,"Herlitz junctional epidermolysis bullosa: Diagnostic features, mutational profile, incidence and population carrier frequency in The Netherlands",Wang                    Wei,9,,2011
Aleman                    André,        Neuroscience/Psychology       ,,PLoS ONE,Harcourt Brace & Co,Action observation and acquired motor skills: an FMRI study with expert dancers.,Aziz-Zadeh                    Lisa,4,"University of Groningen, Netherlands",2005
Farahani,"        Gene regulation, Chromatin and Epigenetics       ",,Nucleic Acids Research,Oxford University Press,Evidence for natural antisense transcript-mediated inhibition of microRNA function,Vujovic                    Filip,4,,2010
Lindberg                    Malou,,,BMC Family Practice,"Stockholm, Sweden: Socialstyrelsen",Effect of an integrated primary care model on the management of middle-aged and old patients with obstructive lung diseases,Carlfjord                    Siw,2,,2007
Watson,,,Nature Communications,Nature Publishing Group UK,A new habitat availability index to integrate connectivity in landscape conservation planning: Comparison with existing indices and application to a case study,Ward,9,,2007
Baig-Ansari                    Naila,,,Journal of Family Medicine and Primary Care,Wolters Kluwer - Medknow,Role of parents in making children's use of media screen time more worthwhile,Ishtiaq                    Annum,4,,2015
Spielmann                    Julia,,,Frontiers in Immunology,World Cancer Research Fund,High intensity interval training increases natural killer cell number and function in obese breast cancer-challenged mice and obese women.,Naujoks                    Wiebke,6,,2017
Teng                    Xiaoming,,,Reproductive Biology and Endocrinology : RB&E,BioMed Central,The association between severe obesity and characteristics of failed fertilized oocytes,Huang,4,,2012
Cano,,,Scientific Reports,Nature Publishing Group UK,Learning effective brain connectivity with dynamic Bayesian networks,Zanin                    Massimiliano,5,,2007
Hildebrandt                    Andrea,        Registered Report       ,,Royal Society Open Science,"Sage Publications, Inc",Sex differences in cortical thickness mapped in 176 healthy individuals between 7 and 87 years of age,Meyer,4,,2006
Yao,,,International Journal of Environmental Research and Public Health,Merrill/Prentice Hall,High plaque levels after thorough toothbrushing: What impedes efficacy?,Liu,6,,2019
Boccatonda                    Andrea,,,Journal of Clinical Medicine,MDPI,A rational approach to fluid therapy in sepsis,Zheng,13,,2016
Desrosiers                    Ronald C.,               HIV-1              ,,PLoS Pathogens,ASM press,Murine FLT3 ligand-derived dendritic cell-mediated early immune responses are critical to controlling cell-free human T cell leukemia virus type 1 infection,Rizkallah,8,,2011
Sayed                    Ahmed M,,,Reproductive Biology and Endocrinology : RB&E,Cambridge(UK): Cambridge University Press,Letrozole: ovulation or superovulation?,Fouda                    Usama M,2,,2003
Verwilst                    Peter,,,Molecules,"Pergamon Press, Inc.",A new and rapid colorimetric determination of acetylcholinesterase activity,Fang                    Bo-Kai,13,,1961
Mouraux                    André,,,Frontiers in Pharmacology,Frontiers Media S.A.,Secondary hyperalgesia to punctate mechanical stimuli. Central sensitization to A-fibre nociceptor input,van Neerven                    Sabien G. A.,2,,1999
Yoon,,,Journal of Korean Medical Science,The Korean Academy of Medical Sciences,The survival condition and immunoregulatory function of adipose stromal vascular fraction (SVF) in the early stage of nonvascularized adipose transplantation,Kim,5,,2013
Su                    Jiantang,,,Journal of Biomedical Research,Editorial Department of Journal of Biomedical Research,Association of methylenetetrahydrofolate reductase and thymidylate synthase promoter polymorphisms with genetic susceptibility to esophageal and cardia cancer in a Chinese high-risk population,Cheng                    Huan,5,,2005
Jørgensen                    Malene M.,,,Journal of Extracellular Vesicles,Co-Action Publishing,Expression of constitutively activated EGFRvIII in non-small cell lung cancer,Jakobsen                    Kristine R.,6,,2003
Mutch                    Nicola J.,        Coagulation and Fibrinolysis       ,,Thrombosis and Haemostasis,Schattauer,A new biomarker quantifies differences in clot microstructure in patients with venous thromboembolism,Whyte                    Claire S.,7,,2015
Huysmans                    Marie-Charlotte D.N.J.M.,,,Caries Research,Blackwell Munksgaard,"Transversal wavelength-independent microradiography, a method for monitoring caries lesions over time, validated with transversal microradiography",Hollanders                    Audrey C.C.,4,"Department of Dentistry, Radboudumc, Nijmegen, The Netherlands",2006
Eskandarian                    AA,        Short Communication       ,,Iranian Journal of Parasitology,Tehran University of Medical Sciences,Critical Evaluation of Urine-Based PCR Assay for Diagnosis of Lyme Borreliosis,Eskandarian                    AA,1,"Department of Parasitology & Mycology, Faculty of Medicine, Esfahan University of Medical Sciences, Esfahan, Iran",2005
Peng                    Cheng,         Review        ,,Frontiers in Pharmacology,ChengDu University of TCM,Shenfu injection promotes vasodilation by enhancing eNOS activity through the PI3K/akt signaling pathway,Zhang                    Jing,7,,2020
Rajasekaran,,,"Cancer Immunology, Immunotherapy",Springer Berlin Heidelberg,Hypoxia induced impairment of NK cell cytotoxicity against multiple myeloma can be overcome by IL-2 activation of the NK cells,Cluff                    Emily,7,,2013
Thickett                    David R.,        12       ,,ERJ Open Research,European Respiratory Society,LXA4 actions direct fibroblast function and wound closure,Zheng                    Shengxing,11,,2015
Connor                    Jason P.,         Clinical Trial        ,,Frontiers in Psychiatry,Chapman & Hall,Matching patients with alcohol disorders to treatments: Clinical implications from Project MATCH,Coates                    Jason M.,5,,1998
Shimosawa                    Tatsuo,          Diabetes Mellitus         ,,PLoS ONE,Public Library of Science,Why in 2016 are patients with hypertension not 100% controlled? A call to action,Leeman                    Marc,5,,2016
Camussi                    Giovanni,,,Frontiers in Molecular Biosciences,Frontiers Media S.A.,Treatment of brain inflammatory diseases by delivering exosome encapsulated anti-inflammatory drugs from the nasal region to the brain,Tapparo                    Marta,8,,2011
Grigorieff                    Niko,        Structural Biology and Molecular Biophysics       ,,eLife,Springer,Decision letter,Tao                    Xiao,6,,2010
Donini                    Lorenzo Maria,,,BMC Geriatrics,Wolters Kluwer Health/Lippincott Williams & Wilkins,Depression in older persons with mobility limitations,Mulasso                    Anna,10,,2014
Rondé                    Philippe,,,Cancer Cell International,BioMed Central,Mechanisms of glutamate transport,Hamadi                    Abdelkader,4,,2013
Seedat                    Jaishika,,,The South African Journal of Communication Disorders,Lawyers & Judges Publishing Company,Dysphagia bedside screening for acute-stroke patients: The Gugging Swallowing Screen,Ostrofsky                    Calli,2,,2007
Dirksen                    Asger,,,Respiratory Research,BioMed Central,Scales to assess the quality of randomized controlled trials: a systematic review,Stockley                    Robert A,6,,2008
Li                    Jiping,,,Biological Research,BioMed Central,Genetic characterization of p27kip1 and stathmin in controlling cell proliferation in vivo,Jin                    Cheng,3,"Department of Otorhinolaryngology, School of Medicine, Ren Ji Hospital, Shanghai Jiao Tong University, No.145 Pujian Road, Shanghai, 200127 China",2014
Lubitz,,,Nature Communications,Nature Publishing Group UK,Predicting splicing from primary sequence with deep learning,Halford,45,,2019
Parker                    Emily,          Computational Systems         ,,PLoS ONE,Public Library of Science,Molecular-Dynamics with Coupling to an External Bath,Gesteira                    Tarsis F.,7,,1984
Keller                    Bettina G.,"""         Editors Pick        """,,The Journal of Biological Chemistry,Springer,"UniProt-DAAC: domain architecture alignment and classification, a new method for automatic functional annotation in UniProtKB",Joswig                    Jan-O.,5,,2016
Newcomb                    P A,        Genetics and Genomics       ,,British Journal of Cancer,"WHO: Geneva, Switzerland",Assessment of colorectal cancer molecular features along bowel subsites challenges the conception of distinct dichotomy of proximal versus distal colorectum,Phipps                    A I,8,,2012
Chen                    Yi-Han,,,Journal of Translational Medicine,BioMed Central,Glioblastoma microvesicles transport RNA and proteins that promote tumour growth and provide diagnostic biomarkers,Xiao                    Junjie,16,,2008
Conigliaro                    Alice,,,Cells,Springer,Systemic administration of cell-free exosomes generated by human bone marrow derived mesenchymal stem cells cultured under 2D and 3D conditions improves functional recovery in rats after traumatic brain injury,Sork                    Helena,14,,2017
Starrs                    Claire J.,,,Preventive Medicine Reports,The Guilford Press,Estimating the number of secondary Ebola cases resulting from an unsafe burial and risk factors for transmission during the West Africa Ebola epidemic,Christopher Perry                    J.,3,,1997
Vanacker                    Jean-Marc,        Pathology/Molecular Pathology       ,,PLoS ONE,Public Library of Science,Carboxyl-terminal repressor domain of MBP-1 is sufficient for regression of prostate tumor growth in nude mice.,Lo Presti                    Mariavera,13,"Institut de Génomique Fonctionnelle de Lyon, France",2005
Ghert                    M.,        Retractions       ,,Bone & Joint Research,,Peer-review fraud—hacking the scientific publication process,Yan                    J.,6,,2015
Hannukainen,        AcademicSubjects/MED00250       ,,The Journal of Clinical Endocrinology and Metabolism,Oxford University Press,Randomised controlled trial of effect of high-impact exercise on selected risk factors for osteoporotic fractures,Ojala,12,,1996
Ma                    Zhanshan (Sam),,,Frontiers in Genetics,"Longman, Rees, Orme, Brown, Green and Longman",Gut mucosal virome alterations in ulcerative colitis.,Xiao                    Wanmeng,2,,2019
Rasi                    Arefeh,        Review       ,,Ethiopian Journal of Health Sciences,Research and Publications Office of Jimma University,Vitamin D receptor polymorphisms and diseases,Motahari                    Paria,3,"Dentist, Department of Oral Medicine, Faculty of Dentistry, Tabriz University of Medical Sciences, Tabriz, Iran",2006
Bundschuh                    Ralf,,,BMC Genomics,BioMed Central,"A scalable, flexible workflow for MethylCap-seq data analysis",Rodriguez                    Benjamin AT,16,,2011
Srivastava                    Praveen Ranjan,,,Sn Computer Science,Macmillan International Higher Education,Impact of the COVID-19 pandemic on the social and educational aspects of Saudi university students’ lives,Sengupta,2,,2021
Lee                    Dong-Sup,,,Laboratory Animal Research,Korean Association for Laboratory Animal Science,"Targeting microRNAs in cancer: rationale, strategies and challenges",Oh                    Keunhee,2,,2010
Lara-Díaz                    Víctor Javier,,,Heliyon,"Saunders, Elsevier Health Sciences",Male sex is associated with a reduced alveolar epithelial sodium transport,Castorena-Torres                    Fabiola,3,,2015
Paolini                    Sergio,        Review       ,,Cancers,MDPI,Lomustine and Bevacizumab in Progressive Glioblastoma,Minniti,3,,2017
Su                    Pen-Hua,        Case Report       ,,World Journal of Clinical Cases,Baishideng Publishing Group Inc,Effect of low-normal and high-normal IGF-1 levels on memory and wellbeing during growth hormone replacement therapy: a randomized clinical trial in adult growth hormone deficiency,Liu                    Jung-Tung,2,"Department of Pediatrics and Genetics, Chung Shan Medical University Hospital, Taichung 40201, Taiwan.",2018
Prestes                    Jonato,,,International Journal of General Medicine,Dove Medical Press,Prevalence of weakness and its relationship with limitations based on the Foundations for the National Institutes for Health project: data from the Health and Retirement Study,Nascimento                    Dahan da Cunha,8,,2016
Malmierca                    Manuel S.,           Scalp          ,,PLoS ONE,Cambridge University Press,A New Measure of Rank Correlation,Tavano,4,,1938
Jung                    Ji Ye,,,Scientific Reports,Nature Publishing Group UK,Preoperative controlling nutritional status (CONUT) score as a novel immune-nutritional predictor of survival in non-metastatic clear cell renal cell carcinoma of ≤ 7 cm on preoperative imaging,Lee                    Sang Chul,9,,2019
Torrente                    Sandra,,,Journal of Racial and Ethnic Health Disparities,National Partnership for Women & Families,Population differences affect the interpretation of fetal nonstress test results,Okwandu,5,,1998
