article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Zhou                 Juan,,Frontiers in Aging Neuroscience,1663-4365,The Psychological Corporation,Original Research,Structural architecture supports functional organization in the human aging brain at a regionwise and network level,Wang                    Juan,13,,2016,"National Medical Research Council, 10.13039/501100001349, R-184-006-184-511, NMRC/CG/013/2013, NMRC/CG/NUHS/2010, NMRC/CIRG/1390/2014, NMRC/CSA/038/2013",Clinical Imaging Research Centre The Agency for Science Technology and Research-National University of Singapore,NMRC/CSA/038/2013,PMC6300727, ,Singapore
research-article,Jaggi                 Meena,,Oncogene,1476-5594,,Article,Expression and functions of transmembrane mucin MUC13 in ovarian cancer,Khan                    Sheema,17,,2009,,,,PMC5173450, ,
research-article,Lappe                 Markus,,PLoS ONE,1932-6203,NASA Ames Research Center,Research Article,Perception of auditory-visual temporal synchrony in human infants,Silva                    Carlos César,7,,2000,"This research was financed by the Portuguese Foundation for Science and Technology [PTDC/EEA-ELC/112137/2009; SFRH/ BPD/ 63393/2009]. This work was financed by FEDER grants through the Operational Competitiveness Program - COMPETE and by national grants through FCT - Portuguese Foundation for Science and Technology, with the following projects: FCOMP-01-0124-FEDER-022674 and PEst-C/CTM/U10264/2011; FCOMP-01-0124-FEDER-037281 and PEst-C/EEI/LA0014/2013; and FCOMP-01-0124-FEDER-015095. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3828238,"All stimuli corresponded to the correct motion coordinates of a 1.87 m high, 17 year-old male, walking at a velocity of 1.1 m/s.",
research-article,Winder                 Thomas,,British Journal of Haematology,1365-2141,John Wiley and Sons Inc.,Covid‐19,Safety and immunogenicity of one versus two doses of the COVID‐19 vaccine BNT162b2 for patients with cancer: interim analysis of a prospective observational study,Benda                    Magdalena,15,,2021,,Swiss Tumor Immunology Institute,,PMC8444745, ,Switzerland
research-article,Huang                 Yicong,,Frontiers in Psychology,1664-1078,Guilford Press,Original Research,The influence of spiritual leadership on the subjective well−being of Chinese registered nurses.,Huang                    Yicong,1,,2020,,School of Business Administration South China University of Technology,,PMC9046577, ,China
research-article,Bradley                 Mark,,Organic & Biomolecular Chemistry,1477-0539,Royal Society of Chemistry,Chemistry,Bimodal fluorogenic sensing of matrix proteolytic signatures in lung cancer,Megia-Fernandez                    Alicia,8,,2017,,,,PMC6238727, ,
research-article,Banerjee                 Santasree,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,APC mutation and phenotypic spectrum of Singapore familial adenomatous polyposis patients,Zhang                    Zhao,10,,2000,,Department of General Surgery Tianjin people’s hospital,,PMC5617841, ,
research-article,Mura                 Umberto,,Metabolites,2218-1989,MDPI,Article,DockRMSD: An open-source tool for atom mapping and RMSD calculation of symmetric molecules through graph isomorphism,Möller,16,,2019,,,,PMC8876231, ,
research-article,Chiorini                 John A,,Arthritis Research & Therapy,1478-6362,BioMed Central,Research Article,Prevention of autoimmune diabetes mellitus in NOD mice by transgenic expression of soluble tumor necrosis factor receptor p55,Vosters                    Jelle L,6,,1997,,,,PMC3003528, ,
research-article,Destexhe                 Alain,,Scientific Reports,2045-2322,Nature Publishing Group,Article,"Ivy Cells: A Population of Nitric-Oxide-Producing, Slow-Spiking GABAergic Neurons and Their Involvement in Hippocampal Network Activity",Teleńczuk                    Bartosz,7,,2008,,Department of Organismal Biology and Anatomy Committee on Computational Neuroscience University of Chicago,,PMC5225490, ,USA
research-article,Rueda                 Luis,,Cancer Informatics,1176-9351,"World
Scientific",Methodology,"The F-prostaglandin receptor is a novel marker
for tumor endothelial cells in renal cell carcinoma",Alkhateeb,6,,2013,"natural sciences and engineering research council of canada, https://doi.org/10.13039/501100000038, RGPIN/05084-2014 and 290550, Windsor-Essex County Cancer Centre Foundation, Seeds4Hope, university of windsor, https://doi.org/10.13039/100009154",university of windsor,Seeds4Hope,PMC6416685, ,
research-article,Li                 Shuben,,Annals of Translational Medicine,2305-5847,AME Publishing Company,Original Article,"Atezolizumab plus bevacizumab versus sunitinib in patients with previously untreated metastatic renal cell carcinoma (IMmotion151): a multicentre, open-label, phase 3, randomised controlled trial.",He                    Jiaxi,4,,2019,,National Clinical Research Center for Respiratory Disease,,PMC8422128, ,China
research-article,Wang                 Xintian,,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,1643-3750,"International Scientific Literature, Inc.",Clinical Research,Spontaneous esophageal perforation with a posterior mediastinal hematoma,Chen                    Chen,4,,2014,,,,PMC4657761, ,
research-article,Warfield                 Simon K.,,Frontiers in Integrative Neuroscience,1662-5145,Frontiers Media S.A.,Original Research,Measurements?: a diffusion phantom and human brain study.,Prohl                    Anna K.,18,,2012,"National Institute of Neurological Disorders and Stroke, 10.13039/100000065, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 10.13039/100009633, Intellectual and Developmental Disabilities Research Center, 10.13039/100007857, National Institutes of Health, 10.13039/100000002",F.M. Kirby Neurobiology Center Boston Children’s Hospital Harvard Medical School Harvard University,,PMC6650594, ,United States
research-article,Ueno                 Naohiko,,Journal of Clinical Medicine Research,1918-3011,Elmer Press,Original Article,Recent developments in our understanding of the renal basis of hyperuricemia and the development of novel antihyperuricemic therapeutics,Ueno                    Naohiko,1,"Ueno Internal Medicine and Diabetes Clinic, Hortensia Building 5F, Motomachi-dori, Chuo-ku, Kobe, Hyogo 650-0022, Japan. Email:",2006,,,,PMC5687906, ,
research-article,Ihm                 Chun Hwa,,The Korean Journal of Hematology,2092-9129,Korean Society of Hematology; Korean Society of Blood and Marrow Transplantation; Korean Society of Pediatric Hematology-Oncology; Korean Society on Thrombosis and Hemostasis,Original Article,"Syndecan-1 is a multifunctional regulator of myeloma pathobiology: control of tumor cell survival, growth, and bone cell differentiation",Kim                    Ji Myung,4,,1998,,,,PMC2983025, ,
research-article,Dere                 Ruhee,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,PI3K-Akt-mTOR inhibition by GNE-477 inhibits renal cell carcinoma cell growth in vitro and in vivo,Chowdhury                    Pratim,11,,2020,Gilson Longenbaugh Foundation,Gilson Longenbaugh Foundation,1P42ES0327725,PMC8128866, ,
review-article,Ros                 Eduardo,,Frontiers in Cellular Neuroscience,1662-5102,MIT Press,Review,Simulating cortical development as a self constructing process: a novel multi-scale approach combining molecular and physical aspects,D’Angelo                    Egidio,12,,2013,"European Commission, 10.13039/501100000780, HBP-604102, HBP-RegioneLombardia",Dipartimento di Informatica Sistemistica e Comunicazione Università degli Studi di Milano-Bicocca,HBP-RegioneLombardia,PMC4937064, ,"Milan, Italy"
research-article,Yousef                 George M.,,Oncotarget,1949-2553,Impact Journals LLC,Research Paper,From bench to bedside: current and future applications of molecular profiling in renal cell carcinoma,White                    Nicole M.A.,14,,2009,,,,PMC3964225, ,
research-article,Stork,,IEEE Journal of Translational Engineering in Health and Medicine,2168-2372,IEEE,Article,Interventions for preventing falls in older people living in the community,,4,,2012,"European Community’s Seventh Framework Programme FP7/2012, 10.13039/501100004963, 316 639, The work was supported by the European Community’s Seventh Framework Programme FP7/2012 under Grant 316 639.",Stanford Univ,316 639,PMC5396921, ,Germany
research-article,Boes,,Immunotherapy Advances,2732-4303,Oxford University Press,AcademicSubjects/MED00730,Identification of PVR (CD155) and nectin-2 (CD112) as cell surface ligands for the human DNAM-1 (CD226) activating molecule,Jacobs                    Marleen E,6,,2003,Janssen Inc,Janssen Inc,,PMC9585685, ,the Netherlands
research-article,Song,,Cell Transplantation,1555-3892,Springer,Original Article,TRIM8: making the right decision between the oncogene and tumour suppressor role,Liu                    Ruoxi,3,,2017,,,,PMC7563946, ,
research-article,Ware                 Ken,,Frontiers in Physiology,1664-042X,"Wolfram Media, Inc",Hypothesis and Theory Article,Transition to seizure: from “macro”- to “micro”-mysteries,Ross                    Sara N.,2,,2011,,Neurotricional Sciences Pty. Ltd.,,PMC3832888, ,"Gold Coast, QLD, Australia"
research-article,Pawlak-Osińska                 Katarzyna,,Surgical and Radiologic Anatomy,1279-8517,Springer Paris,Original Article,Measurements of fetal limb bones in early pregnancy,Wiśniewski,7,,1994,,The Ludwik Rydygier Collegium Medicum in Bydgoszcz The Nicolaus Copernicus University in Toruń,,PMC6620237,"Materials and methodsThe study material comprised 47 human fetuses (25 males and 22 females) at the age of 17–30 weeks of gestation, originating from either spontaneous miscarriages or preterm deliveries.",
research-article,Gerstein                 Mark B,,BMC Genomics,1471-2164,BioMed Central,Research Article,Emergence of young human genes after a burst of retroposition in primates,Liu                    Yuen-Jong,7,,2005,,,,PMC2770531, ,
research-article,Alisi                 Anna,,Oncotarget,1949-2553,Impact Journals LLC,Research Paper: Pathology,Glutathionylation of p65NF-kappaB correlates with proliferating/apoptotic hepatoma cells exposed to pro- and anti-oxidants,Ceccarelli                    Sara,17,,2009,,,,PMC4747165, ,
research-article,Liu,,BioMed Research International,2314-6141,Hindawi,Research Article,Podocyte proteins in congenital and minimal change nephrotic syndrome,Meng                    Lingzhang,22,,2015,"National Natural Science Foundation of China, #81460143",,#81460143,PMC6942772, ,
research-article,Linhardt                 Robert J.,,Biochemistry & physiology,2168-9652,Springer,Article,The hydrophobic temperature dependence of amino acids directly calculated from protein structures,Zhao                    Jing,4,,2015,,,,PMC6156718, ,
research-article,Jyothi Prasanna                 Susarla,,Journal of Cellular and Molecular Medicine,1582-4934,John Wiley & Sons Ltd,Original Articles,Human amnion mesenchyme harbors cells with allogeneic T-cell suppression and stimulation capabilities,Vasandan                    Anoop Babu,6,,2008,,School of Regenerative Medicine (SORM) Manipal University,,PMC3930420, ,
research-article,Li                 Luyifei,,Frontiers in Physiology,1664-042X,Frontiers Media S.A.,Original Research,The key genes for perineural invasion in pancreatic ductal adenocarcinoma identified with Monte-Carlo Feature Selection method,Li                    Dan,3,,2020,"Scientific Research Project of Heilongjiang Health and Family Planning Commission, 2017-017",Internal Medicine-Cardiovascular Department Harbin Chest Hospital,2017-017,PMC7693561, ,China
research-article,Sun,,Nature Communications,2041-1723,Elsevier,Article,Bright infrared quantum-dot light-emitting diodes through inter-dot spacing control,Ban                    Muyang,12,,2003,"This work was supported by the National Key Research and Development Program of China (2016YFA0202402), the National Natural Science Foundation of China (91123005, 61674108, 11550110176), the Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD), the 111 Project and Collaborative Innovation Center of Suzhou Nano Science and Technology (NANO-CIC).",This work was supported by the National Key Research and Development Program of China (2016YFA0202402) the National Natural Science Foundation of China (91123005 61674108 11550110176) the Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD) the 111 Project and Collaborative Innovation Center of Suzhou Nano Science and Technology (NANO-CIC).,,PMC6155305, ,
research-article,Suassuna                 José Hermógenes Rocco,,BMC Nephrology,1471-2369,BioMed Central,Research Article,Early versus late acute rejection episodes in renal transplantation,Araújo,2,,2003,"Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro (FAPERJ), E-26/111.228/2013, Araújo, Nordeval Cavalcante",Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro (FAPERJ),E-26/111.228/2013,PMC6288962, ,
research-article,Bacci                 Alberto,,PLoS Biology,1545-7885,Public Library of Science,Neurons,GABAergic neurogliaform cells represent local sources of insulin in the cerebral cortex,Szegedi                    Viktor,8,,2014,"Medical Research council UK. Received by KL (MRC Anatomical Neuropharmacology Unit Senior Scientist). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. ERC INTERIMPACT project (ERC-2010-AdG). Received by GT. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. National Brain Research (Nemzeti Agykutatási) program agykutatas.com. Received by KL (KTIA_NAP_13-2-2015-0005), GM (KTIA_13_NAP-A-I/16) and GT. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Hungarian Academy of Sciences, the Hungarian National Office for Research and Technology (GINOP-2.3.2-15-2016-00018), the National Research Development and Innovation Office of Hungary (VKSZ-14-1-2015-0155). Received by GT. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC5102409, ,
research-article,Qu                 Song,,Cancer Management and Research,1179-1322,Dove,Original Research,From differentiation to proliferation: the secretory amyloid precursor protein as a local mediator of growth in thyroid epithelial cells,Li,10,,1998,,Department of Radiation Oncology Affiliated Cancer Hospital of Guangxi Medical University Cancer Institute of Guangxi Zhuang Autonomous Region,,PMC6929967, ,People’s Republic of China
research-article,Kayser                 Manfred,,European Journal of Epidemiology,1573-7284,Chapman and Hall/CRC,Methods,DNA methylation-based forensic age prediction using artificial neural networks and next generation sequencing,Maas                    Silvana C. E.,29,,2017,"http://dx.doi.org/10.13039/501100001826, ZonMw, 904-61-090, 985-10-002, 912-10-020, 904-61-193, 480-04-004, 463-06-001, 451-04-034, 400-05-717",ZonMw,400-05-717,PMC6861351, ,
research-article,May                 Eric R.,,Viruses,1999-4915,Lippincott Williams & Wilkins,Article,Cytomegalovirus vaccine strain towne-derived dense bodies induce broad cellular immune responses and neutralizing antibodies that prevent infection of fibroblasts and epithelial cells,Tandon                    Ritesh,4,,2013,,,,PMC4379554, ,
brief-report,König                 Sarah,,GMS Journal for Medical Education,2366-5017,Waxmann,Article,Learning the facts in medical school is not enough: which factors predict successful application of procedural knowledge in a laboratory setting?,Taurines                    Regina,4,,2013,,,,PMC7740018, ,
research-article,Chen                 Longbang,,Molecular Cancer,1476-4598,BioMed Central,Research,Detection of apoptosis by TUNEL assay,Pan                    Banzhou,7,,2012,,,,PMC4125709, ,
research-article,Pittet                 Valérie,,PLoS ONE,1932-6203,Agency for Healthcare Research and Quality (US),Bladder,Acceptance letter,Wagner,10,,2003,"http://dx.doi.org/10.13039/501100001711, Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung, 167499, Dratva, Julia, This study was funded by the Swiss National Science Foundation (SNSF), National Research Program 74 ""Smarter Health Care"", Project ""Swiss Home Care Data: patient profiles and quality measures for home care"" (No. 167499). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,167499,PMC7773259, ,
research-article,Xu,,Brazilian Journal of Medical and Biological Research,1414-431X,Associação Brasileira de Divulgação Científica,Research Article,MicroRNA-448 suppresses osteosarcoma cell proliferation and invasion through targeting EPHA7,Tu,4,,2017,,,,PMC7798137, ,
research-article,de Souza-Pinto,,Genetics and Molecular Biology,1678-4685,McGraw Hill,Articles,Mechanisms controlling mitochondrial biogenesis and respiration through the thermogenic coactivator PGC-1,Mori,2,,1999,,,,PMC7341727, ,
research-article,Morling                 Niels,,Genes,2073-4425,National Forensic Science Technology Center,Article,Investigation into Ethylene Oxide Treatment and Residuals on DNA and Downstream DNA Analysis,Nilsson                    Martina,4,,2017,,,,PMC8775027, ,
research-article,Palta                 Priit,,European Journal of Human Genetics,1476-5438,Nature Publishing Group,Article,Comprehensive population-based genome sequencing provides insight into hematopoietic regulatory mechanisms,Mitt                    Mario,12,,2016,, University of Tartu,,PMC5520064, ,Estonia
research-article,Katagiri                 Toyomasa,,Scientific Reports,2045-2322,Nature Publishing Group,Article,Inhibitory effect of soluble platelet-derived growth factor receptor β on intraosseous growth of breast cancer cells in nude mice,Yoshimaru                    Tetsuro,9,,2011,,Department of Surgery,,PMC4258681, ,Japan
research-article,Zani                 Alberto,,Scientific Reports,2045-2322,Nature Publishing Group,Article,ASA-Advanced Source Analysis of continuous and event-related EEG/MEG signals,Mado Proverbio                    Alice,4,,2004,,National Research Council (CNR),,PMC5376193, ,Italy
research-article,Budd                 Lucy,,"Transportation Research. Part D, Transport and Environment",1879-2340,Perth,Article,"Researching internet-based populations: advantages and disadvantages of online survey research, online questionnaire authoring software packages, and web survey services",Harley                    Grace,3,,2005,,,,PMC7537656, ,
research-article,Zigel                 Yaniv,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,"The anatomical, cellular and synaptic basis of motor atonia during rapid eye movement sleep",Dafna                    Eliran,3,,2016,,Ben-Gurion University of the Negev,,PMC6128888, ,
research-article,Hosseinkhani                 Saman,,Iranian Journal of Biotechnology,2322-2921,National Institute of Genetic Engineering and Biotechnology,Research Article,Investigation of the effects of carbon-based nanomaterials on A53T alpha-synuclein aggregation using a whole-cell recombinant biosensor,Eghtedari                    Masoumeh,5,,2017,,,,PMC8590718, ,
brief-report,Sloots                 Theo P.,,Emerging Infectious Diseases,1080-6059,Centers for Disease Control and Prevention,Dispatch,The primary site of replication alters the eventual site of persistent infection by polyomavirus in mice.,Bialasiewicz                    Seweryn,5,"Pathology Queensland; Brisbane (M.D. Nissen, T.P. Sloots)",1984,,,,PMC2681122, ,
research-article,Wolfe                 Andrew,,PLoS ONE,1932-6203,Public Library of Science,Sexual Reproduction,Characterisation of arcuate nucleus kisspeptin/neurokinin B neuronal projections and regulation during lactation in the rat,Skrapits                    Katalin,10,,2011,"The research leading to these results has received funding from the National Science Foundation of Hungary (OTKA K83710, K100722), the National Development Agency (BONUS HU 08/2-2011-0006) and the European Community's Seventh Framework Programme (FP7/2007–2013) under grant agreement n°245009. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC4118993, ,
research-article,Spiropoulou                 Christina F.,,Emerging Infectious Diseases,1080-6059,Centers for Disease Control and Prevention,Macrophage Activation Marker Soluble CD163 Associated with Fatal and Severe Ebola Virus Disease in Humans,The toll-like receptor receptor 4 antagonist eritoran protects mice from lethal filovirus challenge,McElroy                    Anita K.,14,"Emory University School of Medicine, Atlanta, Georgia, USA (A.K. McElroy, C.S. Kraft, A.K. Mehta, G.M. Lyon, J.B. Varkey, B.S. Ribner)",2017,,,,PMC6346465, ,
research-article,Morton                 Alec,,Tropical Medicine and Infectious Disease,2414-6366,IVI,Article,Hospital health care cost of diarrheal disease in Northern Ghana,Sarker,7,,2010,,,,PMC6473641, ,
research-article,Peace                 Aaron,,JMIR Medical Informatics,2291-9694,JMIR Publications,Original Paper,Day-night variation of acute myocardial infarction in obstructive sleep apnea,Eysenbach                    Gunther,13,,2008,,Letterkenny University Hospital,,PMC7967222, ,Ireland
research-article,Wu                 Long,,Molecules,1420-3049,Springer,Article,PLIP: Fully automated protein–ligand interaction profiler,Zhao                    Lianhui,10,,2015,"Beijing University of Chemical Technology–China-Japan Friendship Hospital Biomedical Transformation Engineering Research Center Joint Project, RZ2020-02, National Key Research and Development Program of China, 2016YFF0203703, This research was supported by the Beijing University of Chemical Technology–China-Japan Friendship Hospital Biomedical Transformation Engineering Research Center Joint Project (Grant No. RZ2020-02) and the National Key Research and Development Program of China (Grant No. 2016YFF0203703).",,2016YFF0203703,PMC9457990, ,
research-article,Bovenschen                 Niels,,Cell Death Discovery,2058-7716,Nature Publishing Group,Article,Improved multiplex immunoassay performance in human plasma and synovial fluid following removal of interfering heterophilic antibodies,Wensink                    Annette C,7,,2005,,NorthShore University Health Systems Research Institute and University of Chicago,,PMC5149580, ,USA
research-article,Ortiz-Catalan                 Max,,Frontiers in Neurorobotics,1662-5218,SAGE Publications,Original Research,Restoring tactile sensations via neural interfaces for of bionic hands.,Middleton                    Alexandra,2,,2019,"Stiftelsen Promobilia, 10.13039/100009389, IngaBritt och Arne Lundbergs Forskningsstiftelse, 10.13039/501100003849, VINNOVA, 10.13039/501100001858, European Commission, 10.13039/501100000780",Department of Orthopaedics Institute of Clinical Sciences Sahlgrenska Academy University of Gothenburg,,PMC7393241, ,Sweden
research-article,Hötting                 Kirsten,,Frontiers in Aging Neuroscience,1663-4365,The MathWorks Inc,Original Research,World Medical Association Declaration of Helsinki: ethical principles for medical research involving human subjects,Kuhne                    Laura A.,7,,2013,"Friedrich Naumann Stiftung, 10.13039/501100007443",Friedrich Naumann Stiftung,,PMC8630591, ,Germany
research-article,Jialal                 Ishwarlal,,Diabetes,1939-327X,American Diabetes Association,Complications,High Glucose Induces Toll-Like Receptor Expression in Human Monocytes,Dasu                    Mohan R.,5,,2006,,,,PMC2570406, ,
research-article,Pouliot                 Frédéric,,Endocrine Connections,2049-3614,Clinical and Laboratory Standards Institute,Research,The 2015 CUA-CUOG Guidelines for the management of castration-resistant prostate cancer (CRPC),Rouleau                    Mélanie,13,,2015,,Centre Hospitalier de l’Université de Montréal,,PMC6376995, ,
research-article,Voracek                 Martin,,PLoS ONE,1932-6203,ACM,Research Article,Diagnostic accuracy of eye movements in assessing pedophilia,Fromberger                    Peter,6,,2012,"The work was supported by the research program of the Faculty of Medicine, Georg-August-University Göttingen (, http://www.med.uni-goettingen.de/de/content/forschung/181.html",,,PMC4436365, ,
research-article,Fraga                 Mario F.,,Frontiers in Cell and Developmental Biology,2296-634X,Frontiers Media S.A.,Original Research,Alternative splicing of the histone demethylase LSD1/KDM1 contributes to the modulation of neurite morphogenesis in the mammalian nervous system.,López                    Virginia,16,,2010,"Gobierno del Principado de Asturias, 10.13039/100011941, IDI/2018/146",Departamento de Patología Hospital Virgen de la Salud (CHT),IDI/2018/146,PMC8383299, ,Spain
research-article,Xu                 Xiao-Ming,,BMC Complementary and Alternative Medicine,1472-6882,BioMed Central,Research Article,Regulators of cell death,Rui                    Xin,4,,1995,"Research Medical and Health Program of Zhejiang, 2016KYB265, Foundation of Ningbo Science and Technology Bureau, 2016A610141, Rui, Xin",Foundation of Ningbo Science and Technology Bureau,2016A610141,PMC5540291, ,
research-article,Magalhaes                 Marco A.,,Frontiers in Oncology,2234-943X,"SEER Statistics, National Cancer Institute",Original Research,Tumor-Associated Neutrophils as a New Prognostic Factor in Cancer: A Systematic Review and Meta-Analysis,Chadwick                    Jeffrey W.,5,,2014,"Canadian Institutes of Health Research, 10.13039/501100000024",Canadian Institutes of Health Research,,PMC8507421, ,Canada
research-article,Schilling                 Chris,,BMC Musculoskeletal Disorders,1471-2474,BioMed Central,Study Protocol,The development and validation of a multivariable model to predict whether patients referred for total knee replacement are suitable surgical candidates at the time of initial consultation,Zhou,7,,2016,"http://dx.doi.org/10.13039/100008132, HCF Research Foundation, N/A, Schilling, Chris",HCF Research Foundation,N/A,PMC8876449, ,
research-article,Krepischi                 Ana C.V.,,Oncotarget,1949-2553,National Cancer Institute,Research Paper,"TM4: a free, open-source system for microarray data management and analysis",Maschietto                    Mariana,15,,2003,,,,PMC5716698, ,
research-article,Peters                 A. Michael,,Physiological Reports,2051-817X,John Wiley and Sons Inc.,Original Research,Sex‐specific differences in lipid and glucose metabolism,Keramida                    Georgia,2,,2015,,Brighton and Sussex Medical School,,PMC5471426,"Thirteen men and 2 women had hepatic steatosis, defined from the CT component of PET/CT as CT density of ≤40 HU (Boyce et al.2010).",United Kingdom
research-article,Peters                 A. Michael,,Physiological Reports,2051-817X,John Wiley and Sons Inc.,Original Research,Sex‐specific differences in lipid and glucose metabolism,Keramida                    Georgia,2,,2015,,Brighton and Sussex Medical School,,PMC5471426,PET/CT imaging revealed no FDG‐avid pathology (“metabolically active” disease) in 15 men and six women.,United Kingdom
research-article,Martin                 Renee H,,Journal of Cerebral Blood Flow & Metabolism,1559-7016,Nature Publishing Group,Original Article,Chemokine CCL2 modulation of neuronal excitability and synaptic transmission in rat hippocampal slices,Jenkins                    Dorothea D,13,,2010,,Department of Pediatrics Medical University of South Carolina,,PMC3463879, ,USA
research-article,Chen                 Jianping,,Frontiers in Pediatrics,2296-2360,Frontiers Media S.A.,Original Research,Prioritizing diversity in human genomics research,Tang                    Xiangrong,8,,2018,,Department of Children's Health Care Liuzhou Maternal and Child Health Care Hospital,,PMC8669824, ,China
research-article,Yongjun                 Xing,,Open Medicine,2391-5463,Churchill Living Stone,Research Article,Total knee arthroplasty for rheumatold arthritis with severe knee flexion deformity: mid-long term follow-up visit,Yulou                    Si,3,"Department of Orthopedics of Yulin Xingyuan Hospital of Shanxi, 719000,",2012,,,,PMC5368867, ,China
research-article,Botticelli                 Daniele,,Journal of Functional Biomaterials,2079-4983,Springer International Publishing,Article,"Strontium and Zinc Substitution in β-Tricalcium Phosphate: An X-Ray Diffraction, Solid State NMR and ATR-FTIR Study",Besleaga                    Cristina,13,,2019,"Romanian National Authority for Scientific Research and Innovation, CNCS UEFISCDI, PN-III-P1-1.1-TE-2019-0463, project CICECO-Aveiro Institute of Materials, UIDB/50011/2020, UIDP/50011/2020, LA/P/0006/2020, C.B., L.M.B., A.C.P., and G.E.S. are grateful for the financial support of the Romanian National Authority for Scientific Research and Innovation, CNCS UEFISCDI, in the framework of the project PN-III-P1-1.1-TE-2019-0463, as well as to the Core Programme 21 N. This work was also developed within the scope of the project CICECO-Aveiro Institute of Materials, UIDB/50011/2020, UIDP/50011/2020 & LA/P/0006/2020, financed by national funds through the FCT/MCTES (PIDDAC).",,LA/P/0006/2020,PMC9502687, ,
research-article,Abd El Aziz                 Zeinab A.,,Dental Research Journal,2008-0255,Wiley-VCH Verlag GmbH & co,Original Article,Corrosion resistance of pulsed laser-treated Ti-6Al-4V implant in simulated biofluids,Abd El Daym                    Dalia Ahmed,5,,2008,,,,PMC6749859, ,
research-article,Qu                 Jinmiao,,Oncology Letters,1792-1082,IARC Press,Articles,A uniform human Wnt expression library reveals a shared secretory pathway and unique signaling activities,Xu                    Min,9,,2012,"Wenzhou Science and Technology Bureau, Y20180460, Natural Science Foundation of Zhejiang Province, 10.13039/501100004731, LY17H160053, The present study was financially supported by grants from the Wenzhou Science and Technology Bureau (grant no. Y20180460) and the Natural Science Foundation of Zhejiang Province (grant no. LY17H160053).",Natural Science Foundation of Zhejiang Province,LY17H160053,PMC8045170, ,
research-article,Ramji                 Dipak P.,,The International Journal of Biochemistry & Cell Biology,1878-5875,Elsevier,Article,Elevated level of ADAMTS4 in plasma and peripheral monocytes from patients with acute coronary syndrome,Ashlin                    Tim G.,6,,2010,,,,PMC3928996, ,
research-article,Joubert,,Molecules,1420-3049,MDPI,Article,Comparison of DFT methods for molecular orbital eigenvalue calculations,Ndzibongwana                    Sethu,6,"Pharmaceutical Chemistry, School of Pharmacy, University of the Western Cape, Private Bag X17, Bellville 7535, South Africa;",2007,,,,PMC6891720, ,
research-article,Yellapantula                 Venkata,,PeerJ,2167-8359,PeerJ Inc.,Women’s Health,Combining bioinformatics and experiments to identify and verify key genes with prognostic values in endometrial carcinoma,Zheng                    Ruoyi,7,,2020,"Science and Technology Bureau of Wenzhou, Y20180278, The First Affiliated Hospital of Wenzhou Medical University, This work was supported by Science and Technology Bureau of Wenzhou (No.Y20180278) and the First Affiliated Hospital of Wenzhou Medical University. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Obstetrics and Gynecology Hospital Fudan University,Y20180278,PMC7703392, ,China
research-article,Mishra                 Manasee,,BMC Geriatrics,1471-2318,BioMed Central,Research Article,A purposeful approach to the constant comparative method in the analysis of qualitative interviews,Barman                    Debjani,2,,2002,"http://dx.doi.org/10.13039/501100000278, Department for International Development, P05683, Barman, Debjani",Department for International Development,P05683,PMC7029516, ,
research-article,Seidelin                 Jakob Benedict,,Clinical and Translational Gastroenterology,2155-384X,Nature Publishing Group,Inflammatory Bowel Disease,Autophagy: a new target or an old strategy for the treatment of Crohn's disease,Salem                    Mohammad,5,,2013,,Department of Gastroenterology Medical Section Herlev Hospital University of Copenhagen,,PMC4816087, ,Denmark
